game_name,game_code,type,cost_price,tax,sale_price
SkyDrift,pc,2,9.17,0.09,9.99
Sanctum,pc,2,9.17,0.09,9.99
DETOUR,pc,2,0.45,0.09,0.49
GundeadliGne,pc,2,3.66,0.09,3.99
Jamestown,pc,2,9.17,0.09,9.99
Nidhogg,pc,2,13.75,0.09,14.99
Capsized,pc,2,9.17,0.09,9.99
ibb & obb,pc,2,11.0,0.09,11.99
Nexuiz,pc,2,9.17,0.09,9.99
Slam Bolt Scrappers,pc,2,9.17,0.09,9.99
Kohan: Ahrimans Gift,pc,2,9.17,0.09,9.99
Frozen Synapse,pc,2,22.93,0.09,24.99
Naval Warfare,pc,2,2.74,0.09,2.99
Yars Revenge,pc,2,9.17,0.09,9.99
Renegade Ops,pc,2,13.76,0.09,15.0
Spiral Knights,pc,1,0.0,0.09,0.0
Puzzle Pirates,pc,1,0.0,0.09,0.0
Vertex Dispenser,pc,2,9.17,0.09,9.99
Gatling Gears,pc,2,9.17,0.09,9.99
Super MNC,pc,2,0.0,0.09,0.0
ORION: Prelude,pc,2,0.0,0.09,0.0
Ms. Splosion Man,pc,2,9.17,0.09,9.99
Terraria,pc,2,9.17,0.09,9.99
Arma 3,pc,2,36.69,0.09,39.99
War Inc. Battlezone,pc,1,0.0,0.09,0.0
Ticket to Ride,pc,2,9.17,0.09,9.99
Memoir 44 Online,pc,2,0.0,0.09,0.0
Project Zomboid,pc,2,13.75,0.09,14.99
Death Rally,pc,2,9.17,0.09,9.99
MicroVolts Surge,pc,2,0.0,0.09,0.0
Neverwinter,pc,1,0.0,0.09,0.0
Achron,pc,2,18.34,0.09,19.99
inMomentum,pc,2,9.17,0.09,9.99
Bunch of Heroes,pc,2,4.58,0.09,4.99
APB Reloaded,pc,1,0.0,0.09,0.0
Iron Brigade,pc,2,13.75,0.09,14.99
Super Toy Cars,pc,2,9.17,0.09,9.99
Worms Revolution,pc,2,13.75,0.09,14.99
Sideway(tm) New York,pc,2,9.17,0.09,9.99
Realm of the Mad God,pc,1,0.0,0.09,0.0
Off-Road Drive,pc,2,6.41,0.09,6.99
Oil Rush,pc,2,7.33,0.09,7.99
XCOM: Enemy Unknown,pc,2,27.51,0.09,29.99
Torchlight II,pc,2,18.34,0.09,19.99
Revelations 2012,pc,2,2.28,0.09,2.49
Pox Nora,pc,2,0.0,0.09,0.0
Total War: SHOGUN 2,pc,2,22.93,0.09,24.99
Really Big Sky,pc,2,4.58,0.09,4.99
DiRT Showdown,pc,2,13.75,0.09,14.99
Impire,pc,2,18.34,0.09,19.99
Leviathan: Warships,pc,2,9.17,0.09,9.99
Scary Girl,pc,2,6.41,0.09,6.99
Demigod,pc,2,9.17,0.09,9.99
Tomb Raider,pc,2,18.34,0.09,19.99
F1 RACE STARS(tm),pc,2,13.75,0.09,14.99
Binary Domain,pc,2,13.75,0.09,14.99
Crusader Kings II,pc,2,9.17,0.09,9.99
The Showdown Effect,pc,2,2.28,0.09,2.49
Max Payne 3,pc,2,18.34,0.09,19.99
Awesomenauts,pc,2,9.17,0.09,9.99
Serious Sam 2,pc,2,9.17,0.09,9.99
Castle Crashers(r),pc,2,13.75,0.09,14.99
Confrontation,pc,2,18.34,0.09,19.99
Rotastic,pc,2,9.17,0.09,9.99
Deep Black: Reloaded,pc,2,27.51,0.09,29.99
Babel Rising,pc,2,9.17,0.09,9.99
Magical Drop V,pc,2,0.91,0.09,0.99
Rocksmith(tm),pc,2,27.51,0.09,29.99
Port Royale 3,pc,2,13.75,0.09,14.99
Clan of Champions,pc,2,36.69,0.09,39.99
AirMech(r),pc,2,0.0,0.09,0.0
Bang Bang Racing,pc,2,9.17,0.09,9.99
SpeedRunners,pc,2,13.75,0.09,14.99
Stellar Impact,pc,2,9.17,0.09,9.99
Fireburst,pc,2,9.17,0.09,9.99
ArcheBlade(tm),pc,2,0.0,0.09,0.0
Cubemen,pc,2,3.66,0.09,3.99
Rayman(r) Origins,pc,2,18.34,0.09,19.99
A Virus Named TOM,pc,2,9.17,0.09,9.99
Arena Wars 2,pc,2,3.66,0.09,3.99
Sacred Citadel,pc,2,9.17,0.09,9.99
Moon Breakers,pc,2,0.0,0.09,0.0
Loadout,pc,2,0.0,0.09,0.0
Doom 3: BFG Edition,pc,2,18.34,0.09,19.99
Tryst,pc,2,13.75,0.09,14.99
F1 2012(tm),pc,2,18.34,0.09,19.99
Lunar Flight,pc,2,13.75,0.09,14.99
Blades of Time,pc,2,9.17,0.09,9.99
Colour Bind,pc,2,9.17,0.09,9.99
Mad Riders(tm),pc,2,9.17,0.09,9.99
Hero Academy,pc,2,4.58,0.09,4.99
Cortex Command,pc,2,18.34,0.09,19.99
War of the Immortals,pc,1,0.0,0.09,0.0
Sanctum 2,pc,2,13.75,0.09,14.99
Rune Classic,pc,2,9.17,0.09,9.99
Check vs Mate,pc,2,18.34,0.09,19.99
Streets of Rage 3,pc,2,2.74,0.09,2.99
Adventures of Shuggy,pc,2,4.58,0.09,4.99
Wanderlust: Rebirth,pc,2,7.33,0.09,7.99
Starbound,pc,2,11.69,0.09,12.74
Star Conflict,pc,1,0.0,0.09,0.0
Vindictus,pc,1,0.0,0.09,0.0
Mabinogi,pc,1,0.0,0.09,0.0
Inversion(tm),pc,2,9.17,0.09,9.99
Party of Sin,pc,2,9.17,0.09,9.99
ThunderWheels Demo,pc,2,0.0,0.09,0.0
Sonic Adventure 2,pc,2,9.17,0.09,9.99
Minimum,pc,2,9.17,0.09,9.99
Tower Wars,pc,2,7.33,0.09,7.99
Gear Up,pc,2,0.0,0.09,0.0
WAKFU,pc,1,0.0,0.09,0.0
Ragnarok Online,pc,1,0.0,0.09,0.0
ROSE Online,pc,1,0.0,0.09,0.0
The Secret World,pc,1,27.51,0.09,29.99
Primal Carnage,pc,2,7.33,0.09,7.99
Dream Pinball 3D,pc,2,6.41,0.09,6.99
Dungeon-Party,pc,2,0.0,0.09,0.0
Gemini Wars,pc,2,13.75,0.09,14.99
MapleStory,pc,1,0.0,0.09,0.0
Great Big War Game,pc,2,6.41,0.09,6.99
Rise of the Triad,pc,2,13.75,0.09,14.99
Worms Armageddon,pc,2,13.75,0.09,14.99
Dins Curse,pc,2,9.17,0.09,9.99
Dogfight 1942,pc,2,9.17,0.09,9.99
Dungeonland,pc,2,0.0,0.09,0.0
PlanetSide 2,pc,1,0.0,0.09,0.0
Frontline Tactics,pc,2,0.0,0.09,0.0
Smashmuck Champions,pc,2,0.0,0.09,0.0
Planets Under Attack,pc,2,9.17,0.09,9.99
PAYDAY 2,pc,2,18.34,0.09,19.99
Pid,pc,2,9.17,0.09,9.99
Mercenary Kings,pc,2,18.34,0.09,19.99
Ultratron,pc,2,9.17,0.09,9.99
Droid Assault,pc,2,9.17,0.09,9.99
Dogs of War Online,pc,2,0.0,0.09,0.0
King Arthurs Gold,pc,2,9.17,0.09,9.99
Grim Dawn,pc,2,22.93,0.09,24.99
Far Cry 3,pc,2,18.34,0.09,19.99
DayZ,pc,2,32.1,0.09,34.99
Monopoly,pc,2,9.17,0.09,9.99
Age of Empires II HD,pc,2,18.34,0.09,19.99
DG2: Defense Grid 2,pc,2,13.75,0.09,14.99
Rocksmith 2014,pc,2,36.69,0.09,39.99
The Cave,pc,2,13.75,0.09,14.99
Champions of Regnum,pc,1,0.0,0.09,0.0
Insurgency,pc,2,9.17,0.09,9.99
Dead Pixels,pc,2,2.74,0.09,2.99
Perpetuum,pc,1,9.17,0.09,9.99
Miner Wars 2081,pc,2,9.17,0.09,9.99
Blockscape,pc,2,18.34,0.09,19.99
F1 2013,pc,2,22.93,0.09,24.99
DCS World,pc,2,0.0,0.09,0.0
Pressure,pc,2,7.33,0.09,7.99
No More Room in Hell,pc,2,0.0,0.09,0.0
Defiance,pc,1,0.0,0.09,0.0
Brutal Legend,pc,2,13.75,0.09,14.99
Full Mojo Rampage,pc,2,11.92,0.09,12.99
Cities in Motion 2,pc,2,18.34,0.09,19.99
Blade Symphony,pc,2,9.17,0.09,9.99
Sven Co-op,pc,2,0.0,0.09,0.0
F1 2014,pc,2,27.51,0.09,29.99
LOST PLANET(r) 3,pc,2,22.93,0.09,24.99
Age of Wonders III,pc,2,27.51,0.09,29.99
Ironclad Tactics,pc,2,13.75,0.09,14.99
Rise of Venice,pc,2,22.93,0.09,24.99
Kingdom Wars,pc,1,0.0,0.09,0.0
God Mode,pc,2,9.17,0.09,9.99
Scourge: Outbreak,pc,2,7.33,0.09,7.99
StarForge,pc,2,9.17,0.09,9.99
Firefall,pc,1,0.0,0.09,0.0
March of the Eagles,pc,2,18.34,0.09,19.99
Retrovirus,pc,2,9.17,0.09,9.99
Castle Story,pc,2,18.34,0.09,19.99
Heroes & Generals,pc,1,0.0,0.09,0.0
Cubemen 2,pc,2,7.33,0.09,7.99
TrackMania2 Canyon,pc,2,18.34,0.09,19.99
Carnage Racing (tm),pc,2,0.0,0.09,0.0
Skulls of the Shogun,pc,2,9.17,0.09,9.99
Bientot lete,pc,2,9.17,0.09,9.99
A Fistful of Gun,pc,2,11.92,0.09,12.99
ShootMania Storm,pc,2,18.34,0.09,19.99
Joe Danger,pc,2,13.75,0.09,14.99
N++ (NPLUSPLUS),pc,2,13.75,0.09,14.99
Warframe,pc,2,0.0,0.09,0.0
Cannon Brawl,pc,2,4.53,0.09,4.94
Ragnarok Online 2,pc,1,0.0,0.09,0.0
MirrorMoon EP,pc,2,9.17,0.09,9.99
Deadfall Adventures,pc,2,0.0,0.09,0.0
Company of Heroes 2,pc,2,6.87,0.09,7.49
Killing Floor 2,pc,2,27.51,0.09,29.99
SolForge,pc,2,0.0,0.09,0.0
TrackMania2 Stadium,pc,2,9.17,0.09,9.99
Thunder Wolves,pc,2,9.17,0.09,9.99
Final Exam,pc,2,9.17,0.09,9.99
Distance,pc,2,18.34,0.09,19.99
Worms Clan Wars,pc,2,22.93,0.09,24.99
UnEpic,pc,2,11.92,0.09,12.99
Gear Up,pc,2,0.0,0.09,0.0
Scrabble,pc,2,9.17,0.09,9.99
Marvel Puzzle Quest,pc,2,0.0,0.09,0.0
Shattered Haven,pc,2,9.17,0.09,9.99
Rush Bros.,pc,2,9.17,0.09,9.99
War of the Vikings,pc,2,22.93,0.09,24.99
Project CARS,pc,2,27.51,0.09,29.99
Original War,pc,2,4.58,0.09,4.99
Prime World,pc,1,0.0,0.09,0.0
Blitzkrieg 3,pc,1,27.51,0.09,29.99
Small World 2,pc,2,9.17,0.09,9.99
Audiosurf 2,pc,2,13.75,0.09,14.99
Dungeon Defenders II,pc,2,0.0,0.09,0.0
Interstellar Marines,pc,2,9.17,0.09,9.99
War Thunder,pc,1,0.0,0.09,0.0
DARK SOULS(tm) II,pc,2,36.69,0.09,39.99
PAC-MAN MUSEUM(tm),pc,2,0.0,0.09,0.0
Takedown: Red Sabre,pc,2,4.58,0.09,4.99
Blood Bowl 2,pc,2,41.28,0.09,44.99
Anomaly 2,pc,2,13.75,0.09,14.99
Elsword,pc,1,0.0,0.09,0.0
Frozen Cortex,pc,2,22.93,0.09,24.99
Planet Explorers,pc,2,22.93,0.09,24.99
Sniper Elite 3,pc,2,45.86,0.09,49.99
Edge of Space,pc,2,13.75,0.09,14.99
Pinball Arcade,pc,2,0.0,0.09,0.0
Legend of Dungeon,pc,2,9.17,0.09,9.99
Magicka 2,pc,2,13.75,0.09,14.99
Contagion,pc,2,9.17,0.09,9.99
Fist Puncher,pc,2,9.17,0.09,9.99
Skyward Collapse,pc,2,4.58,0.09,4.99
Path of Exile,pc,1,0.0,0.09,0.0
Hammerwatch,pc,2,9.17,0.09,9.99
Samurai Gunn,pc,2,13.75,0.09,14.99
Spelunky,pc,2,13.75,0.09,14.99
Gun Monkeys,pc,2,5.5,0.09,5.99
Soldier Front 2,pc,2,0.0,0.09,0.0
Bleed,pc,2,4.58,0.09,4.99
Panzar,pc,2,0.0,0.09,0.0
WWE 2K15,pc,2,45.86,0.09,49.99
MotoGP(tm)13,pc,2,18.34,0.09,19.99
Contraption Maker,pc,2,6.41,0.09,6.99
CastleStorm,pc,2,9.17,0.09,9.99
The Crew(tm),pc,1,27.51,0.09,29.99
Guncraft,pc,2,13.75,0.09,14.99
Kill to Collect,pc,2,18.34,0.09,19.99
Vector Thrust,pc,2,22.93,0.09,24.99
The Chaos Engine,pc,2,9.17,0.09,9.99
Rayman(r) Legends,pc,2,27.51,0.09,29.99
Space Hulk,pc,2,22.93,0.09,24.99
Nuclear Throne,pc,2,11.0,0.09,11.99
The Forest,pc,2,13.75,0.09,14.99
Verdun,pc,2,22.93,0.09,24.99
TrackMania2 Valley,pc,2,18.34,0.09,19.99
Watch_Dogs(tm),pc,2,27.51,0.09,29.99
Gas Guzzlers Extreme,pc,2,22.93,0.09,24.99
Take On Mars,pc,2,20.17,0.09,21.99
Assetto Corsa,pc,2,27.51,0.09,29.99
Supreme Ruler 1936,pc,2,3.66,0.09,3.99
Epigenesis,pc,2,0.0,0.09,0.0
NEOTOKYO,pc,2,0.0,0.09,0.0
Divekick,pc,2,4.58,0.09,4.99
StarMade,pc,2,13.75,0.09,14.99
Foul Play,pc,2,13.75,0.09,14.99
Space Engineers,pc,2,22.93,0.09,24.99
SNOW,pc,2,0.0,0.09,0.0
Skullgirls,pc,2,9.17,0.09,9.99
Etherium,pc,2,18.34,0.09,19.99
Trials Fusion(tm),pc,2,18.34,0.09,19.99
Tropico 5,pc,2,5.72,0.09,6.24
Happy Wars,pc,2,0.0,0.09,0.0
Plague Inc: Evolved,pc,2,13.75,0.09,14.99
Strike Vector,pc,2,11.0,0.09,11.99
Jeklynn Heights,pc,2,6.41,0.09,6.99
Recruits,pc,2,9.17,0.09,9.99
Bombernauts,pc,2,9.17,0.09,9.99
Nether: Resurrected,pc,1,4.58,0.09,4.99
Sacred 3,pc,2,13.75,0.09,14.99
Clickteam Fusion 2.5,pc,1,91.73,0.09,99.99
Dino Run DX,pc,2,5.5,0.09,5.99
Omegalodon,pc,2,9.17,0.09,9.99
Craft The World,pc,2,17.42,0.09,18.99
Legends of Aethereus,pc,2,27.51,0.09,29.99
Megabyte Punch,pc,2,13.75,0.09,14.99
Toribash,pc,2,0.0,0.09,0.0
Kingdoms Rise,pc,2,13.75,0.09,14.99
Risk of Rain,pc,2,9.17,0.09,9.99
